customer_id,total_invoice,total_quantity,cant_products,freq_purchase,cant_transactions,cant_categories,cant_coupons,cant_coupons_used
12605,330.7242,3,3,1,2,2,2,0
12609,447.49100000000004,19,14,1,4,3,3,3
12621,2858.3619000000003,117,29,3,20,7,10,12
12625,6771.98724,186,39,3,24,7,8,23
12626,5794.57333,582,54,5,34,10,15,20
12637,4952.44242,125,54,2,26,10,11,26
12643,73.3482,2,2,1,1,1,1,1
12645,2588.35462,77,13,1,8,7,7,9
12647,4320.90315,215,36,4,27,9,11,16
12649,28.33198,2,2,1,1,2,2,1
12651,2522.32852,255,8,1,7,5,5,4
12652,3183.90632,169,45,3,26,10,11,18
12662,3453.4132400000003,145,30,2,16,7,10,15
12664,797.8032000000001,5,4,1,5,3,3,2
12665,131.4588,17,4,2,2,2,2,1
12666,50.09394,2,2,1,2,2,2,1
12668,7646.890780000001,214,50,2,38,8,12,22
12672,334.60288,10,10,1,3,3,3,4
12673,1820.26106,35,18,1,11,5,5,7
12676,1443.42712,13,9,1,10,4,4,4
12678,253.2297,6,5,1,3,4,4,0
12681,18465.27312,503,148,7,88,14,26,64
12682,13474.483250000001,230,75,6,68,10,16,35
12683,11534.86818,744,59,5,38,9,11,25
12686,1109.675,9,5,1,6,3,3,1
12691,1529.6788400000003,19,15,4,8,3,5,8
12693,1810.0624000000003,17,8,1,4,4,4,2
12705,1901.78133,36,27,1,13,6,5,9
12708,3209.5793400000002,170,23,3,21,7,9,9
12709,3364.42016,200,30,4,16,9,15,16
12712,4284.3485,65,38,7,27,8,12,16
12720,7348.71969,225,45,3,26,11,14,26
12721,2245.83354,144,15,2,10,7,6,9
12724,567.21984,13,10,1,7,4,4,6
12725,4914.66662,795,19,2,14,8,7,8
12726,2017.977,42,21,2,16,9,11,10
12727,1011.75622,15,11,1,8,6,6,6
12728,652.31036,87,11,1,7,5,5,4
12731,13512.63248,1121,32,2,38,7,10,16
12734,115.60408000000001,5,4,1,2,2,2,2
12735,3348.2903300000003,65,36,2,18,8,11,13
12736,171.68880000000001,25,4,1,1,2,2,2
12738,1920.0156,17,6,1,8,2,2,5
12744,11034.29156,365,23,2,34,7,6,16
12747,1880.966,210,19,3,10,7,8,6
12748,84634.52266,4781,302,34,327,13,31,248
12753,2613.74508,136,43,2,20,6,5,19
12754,4053.4232,66,27,1,17,8,8,10
12755,59.57876,2,1,1,1,1,1,1
12763,1091.48228,39,13,2,8,4,4,7
12764,5815.77772,217,28,1,28,8,7,15
12766,5065.08523,158,74,3,28,11,13,30
12775,1424.1017200000001,29,10,2,7,5,5,6
12778,654.99834,10,9,1,3,3,3,3
12779,2588.90982,98,37,3,15,7,7,16
12782,4706.17436,172,44,4,32,8,11,16
12785,914.1551300000001,17,14,1,8,4,4,3
12791,155.22770000000003,2,2,1,2,2,2,1
12793,2524.0087000000003,61,20,2,11,8,7,12
12797,462.4599400000001,17,16,2,7,4,6,8
12808,593.3585,105,6,1,5,4,4,2
12820,713.2713,107,11,1,5,6,5,3
12826,8226.967120000001,313,28,3,31,7,14,14
12829,1149.1694,18,12,3,6,5,7,5
12836,3340.73907,227,28,2,19,8,7,17
12838,5802.8218,479,42,1,28,12,11,19
12839,3970.57726,97,28,3,23,7,7,12
12841,13474.67692,375,75,5,49,9,18,37
12842,2555.8237,18,9,1,9,3,3,8
12853,2118.44875,43,19,2,12,7,9,12
12854,5056.495080000001,46,22,2,23,5,5,12
12855,954.9455,7,2,1,3,1,1,2
12865,267.8,2,1,1,1,1,1,0
12867,3955.1742400000003,297,46,2,24,6,6,15
12868,6302.930740000001,101,37,3,19,8,11,16
12870,66.20948,2,2,1,1,1,1,1
12872,4797.92654,288,54,2,31,9,12,25
12875,7.32,1,1,1,1,1,1,0
12877,1417.2605,19,12,2,11,5,6,10
12908,263.8,2,2,1,1,1,1,0
12913,99.74194,4,4,1,2,3,3,1
12915,1296.8897200000001,37,10,1,7,5,5,4
12916,4493.84756,178,29,2,19,8,7,15
12921,6703.14627,393,38,3,30,8,12,21
12924,29.5543,3,2,1,1,2,2,0
12928,382.07279,20,15,1,8,6,5,8
12929,999.427,13,6,1,5,3,3,3
12931,33.8885,2,2,2,2,2,2,1
12935,9060.4986,47,26,1,2,6,5,7
12939,269.1743,18,6,1,2,3,3,2
12942,917.9694000000001,36,15,1,7,5,5,8
12944,1230.1316000000002,42,12,2,7,5,4,4
12947,5469.743780000001,54,20,5,25,6,10,11
12951,1042.5997399999999,28,20,2,6,5,6,9
12956,3286.15547,35,12,1,14,5,5,5
12957,1374.34536,70,30,2,13,7,7,8
12963,1063.4841,49,16,2,6,5,5,2
12967,1785.08874,23,15,3,10,4,6,5
12970,595.2860000000001,52,8,1,2,4,4,3
12971,4721.485750000001,149,37,15,31,10,16,14
12980,1014.2155000000001,111,5,3,3,3,5,2
12989,191.858,2,2,2,2,2,2,0
12990,491.81940000000003,4,3,1,2,1,1,1
12997,962.0542,89,15,2,7,6,5,7
13000,1002.04048,12,9,1,8,6,6,2
13001,2608.75316,136,28,2,22,9,10,15
13002,976.0398000000001,9,5,1,5,3,3,1
13004,6286.38456,234,45,3,37,9,11,26
13008,2360.5195400000002,42,15,2,8,5,6,2
13011,246.16621999999998,17,3,1,3,3,3,2
13013,5983.5779600000005,157,48,1,28,7,6,18
13021,1924.3186399999997,82,8,2,6,3,4,3
13027,360.52656,16,6,1,4,4,4,1
13029,16.4895,1,1,1,1,1,1,0
13030,2627.97404,225,52,1,16,8,7,23
13033,609.47508,12,11,1,5,4,3,4
13034,247.55676,39,10,1,4,4,4,2
13047,3348.77498,175,33,3,26,8,11,18
13048,3298.94848,556,32,1,17,6,5,14
13049,282.82656,15,7,1,3,4,4,5
13050,11341.08425,298,63,9,60,9,16,33
13064,237.36237999999997,11,9,1,1,3,3,3
13065,1655.6929200000002,27,12,2,7,4,4,6
13068,6.99,1,1,1,1,1,1,1
13069,9848.984120000001,266,97,5,68,11,13,43
13077,1777.28298,148,13,1,4,4,4,5
13078,4471.40575,409,45,8,24,7,11,16
13081,23538.334450000002,1130,146,6,117,11,19,86
13082,1118.4082,9,4,1,6,2,2,3
13089,30416.776110000003,924,175,20,175,13,25,135
13090,1511.2822,34,13,5,9,6,8,3
13092,339.54109,8,7,1,4,6,5,3
13093,13057.10722,612,101,7,65,14,24,53
13094,471.82408000000004,26,5,3,4,4,5,1
13097,3571.2249300000003,280,45,2,18,10,12,25
13098,2431.1222000000002,25,18,2,14,7,6,8
13102,9386.99281,169,58,8,54,9,18,32
13104,123.81000000000002,1,1,1,1,1,1,1
13107,3114.71508,149,22,2,10,8,9,8
13108,623.0708,253,10,1,3,5,5,0
13110,1075.59254,52,14,1,8,4,4,7
13113,20992.49783,2344,41,6,29,10,16,15
13115,288.6816,9,2,2,2,2,2,0
13117,2415.05084,89,29,3,12,8,7,9
13124,4738.7507000000005,74,44,2,30,5,5,18
13126,2539.40569,73,29,3,18,8,12,12
13136,253.78640000000001,3,3,1,3,3,3,1
13137,7618.39157,78,24,1,33,7,7,15
13138,1693.3017800000002,21,10,2,7,4,3,4
13140,783.79764,36,16,1,4,4,4,7
13141,3630.16832,112,27,3,16,8,8,10
13144,54.096199999999996,3,3,1,1,2,1,2
13145,24.023,1,1,1,1,1,1,1
13148,19157.600000000002,186,47,5,78,10,14,44
13155,6274.881350000001,164,41,3,38,9,8,19
13158,3706.7486,67,16,1,16,6,6,6
13161,544.67932,9,8,1,2,3,3,2
13162,3863.3304000000003,111,29,2,25,6,5,12
13165,924.8657000000001,17,13,1,5,3,3,7
13168,5878.655000000001,753,54,1,36,10,9,28
13173,4020.3736,151,12,1,15,4,4,9
13174,24451.59176,793,135,4,124,12,18,82
13178,2086.96806,37,29,1,14,8,7,13
13183,2105.64912,48,16,1,11,7,6,6
13187,1515.02386,117,34,1,10,7,6,9
13198,6167.38086,131,58,3,38,9,12,30
13199,2106.3838800000003,32,13,6,14,6,8,5
13208,2442.3757,97,22,1,13,6,6,6
13209,524.3713,26,21,3,10,4,6,8
13211,70.04356,2,2,1,1,1,1,1
13221,2690.06346,136,33,1,19,8,7,11
13225,625.7065799999999,52,11,2,5,5,6,3
13230,11237.69331,396,49,3,42,10,12,27
13233,1429.6278000000002,20,13,2,8,4,4,8
13238,556.5562,35,5,1,4,3,3,1
13240,1694.0332600000002,49,15,1,15,5,5,5
13246,2544.15392,65,38,2,18,9,9,16
13253,610.75955,122,14,1,5,7,6,4
13255,1423.2022000000002,12,4,1,4,2,2,1
13263,2952.9896200000003,175,30,1,18,8,7,11
13266,67.4706,3,1,1,1,1,1,0
13267,17733.48544,1141,37,6,26,7,12,15
13269,3412.26964,224,20,2,17,4,4,9
13270,84.71000000000002,1,1,1,1,1,1,1
13280,9075.90156,220,52,3,39,10,9,23
13284,890.6362,18,12,2,6,4,5,5
13295,902.6174000000001,71,10,2,5,4,5,2
13304,809.3569800000001,29,20,1,3,4,4,8
13305,538.14103,7,5,1,3,4,4,4
13309,4597.28032,51,21,1,22,6,6,12
13310,2429.2419,138,25,3,12,6,6,8
13313,554.09366,21,17,1,3,5,5,6
13317,1120.32726,36,12,1,8,4,4,3
13319,7508.15117,277,68,5,42,9,9,33
13324,2597.3464,103,8,2,7,3,3,2
13327,958.5291800000001,28,18,1,8,5,5,13
13328,2533.1198000000004,41,14,1,10,7,6,4
13329,690.2993,10,9,3,5,3,5,3
13330,1397.9064,50,9,1,7,4,4,4
13368,166.60500000000002,35,1,1,1,1,1,0
13369,1881.7575600000002,25,16,2,11,4,4,5
13370,3592.3133000000003,129,35,3,23,9,10,18
13385,3631.66192,199,32,1,15,8,7,11
13394,1226.5954800000002,20,13,1,10,6,6,7
13396,2583.246,26,14,2,10,6,7,7
13397,624.9614800000002,10,8,1,4,4,4,2
13402,1581.3719,55,15,1,9,5,5,5
13405,329.89148,8,6,1,3,5,5,3
13408,9438.4949,1040,56,11,42,12,18,27
13418,4396.2724,96,36,3,24,8,12,11
13426,1188.6041,101,30,2,12,8,10,8
13448,2896.23322,237,29,3,22,8,9,7
13451,2014.91574,53,43,1,13,8,7,18
13455,3561.3082100000006,93,25,2,19,5,7,12
13458,4226.09568,190,62,5,28,10,16,32
13468,9125.13656,1151,62,7,38,12,19,24
13473,682.5496,83,13,2,3,5,4,3
13481,15.784,1,1,1,1,1,1,0
13487,383.72786,14,11,1,3,3,3,8
13488,12482.21811,719,100,5,76,11,16,50
13491,4632.1610900000005,144,33,6,22,9,14,17
13494,1197.21356,24,15,1,10,5,5,7
13495,2001.69518,40,25,3,12,4,6,12
13496,1623.0874000000001,142,27,2,11,6,5,8
13497,1057.55438,24,9,1,8,3,3,4
13502,123.67854,13,4,1,1,3,3,3
13506,4207.47402,106,20,3,21,6,7,7
13520,3840.36388,69,22,2,20,6,8,11
13523,1880.0226200000002,36,27,1,12,8,7,7
13527,65.08636,6,5,1,1,4,3,4
13531,7542.52706,199,15,1,4,3,3,5
13534,4280.34402,246,38,6,23,10,17,13
13538,38.732600000000005,3,3,1,1,3,2,0
13539,1202.34785,12,8,1,8,5,5,4
13551,1088.5292,5,4,1,3,3,3,1
13552,351.54596,40,7,1,3,4,4,2
13564,8279.68783,205,57,2,40,8,13,25
13565,1043.45766,15,11,1,8,6,6,3
13569,1923.03134,134,21,1,10,6,6,10
13576,2370.34376,226,30,4,15,6,10,11
13579,568.25689,9,8,1,5,5,5,2
13581,1028.55004,15,9,1,5,5,5,1
13584,2902.40204,35,21,2,16,6,5,9
13593,2833.71704,171,29,2,12,8,7,14
13599,1993.13768,32,27,5,17,7,13,9
13600,3071.6687,23,15,1,13,5,5,1
13606,414.6603,4,3,1,3,3,3,0
13611,1277.7865900000002,133,15,1,4,6,5,5
13614,621.1825,31,9,1,6,5,5,4
13615,2224.88684,232,15,3,12,7,7,7
13627,2126.4202400000004,62,17,1,14,5,5,3
13629,1117.9540000000002,14,7,2,5,3,3,1
13634,1270.54864,208,27,1,9,8,7,9
13649,780.6297000000001,59,15,2,6,7,6,1
13652,542.29678,20,18,1,5,1,1,7
13656,2366.05704,68,29,1,9,5,5,10
13659,4905.77968,113,45,2,32,7,7,15
13668,5036.61797,113,46,3,31,10,13,18
13672,291.54276000000004,8,6,2,3,4,3,1
13680,6934.134440000001,299,66,3,44,10,14,36
13693,59.304880000000004,10,4,1,1,3,3,3
13694,6645.21104,152,82,8,37,11,22,25
13700,1439.63292,110,23,2,14,7,6,9
13703,281.79,2,1,1,1,1,1,0
13705,1422.7635800000003,16,9,1,7,4,4,4
13707,4500.9698,272,17,1,23,7,7,9
13709,2908.3167000000003,471,22,1,19,8,8,10
13715,8223.27935,271,71,5,48,9,14,40
13725,4919.41497,50,22,2,30,4,4,10
13728,1103.10392,19,7,1,5,4,4,1
13742,9678.0995,500,57,2,42,11,10,32
13747,175.58100000000002,1,1,1,1,1,1,0
13748,7.9632,1,1,1,1,1,1,0
13750,9.2922,1,1,1,1,1,1,0
13754,1016.6604000000001,89,8,1,5,3,3,1
13756,1803.50014,46,14,3,8,5,5,2
13758,2467.47022,60,27,3,18,5,8,7
13764,4775.307570000001,97,51,2,29,8,8,16
13767,6527.34753,206,50,9,37,10,19,35
13769,3685.46149,100,27,4,21,7,9,11
13777,7467.06598,80,41,10,47,7,14,18
13782,3490.8118200000004,80,25,1,22,6,6,10
13784,272.95812,6,6,3,4,3,4,5
13786,568.59669,29,7,1,2,5,5,2
13787,447.14852,8,7,1,5,2,2,2
13798,11462.26444,348,90,7,67,12,16,35
13800,3475.8566800000003,60,24,1,23,7,7,11
13802,1339.95442,48,21,2,11,7,7,7
13807,1215.12348,12,7,1,4,3,3,3
13815,9010.7274,85,25,2,31,7,7,16
13817,192.62130000000002,10,9,1,2,3,3,3
13819,3419.75245,150,17,2,15,6,9,7
13824,862.98158,12,10,1,9,2,2,5
13829,20.03374,1,1,1,1,1,1,1
13831,359.6682,3,2,1,2,2,2,0
13837,1256.5016,120,5,1,5,5,5,2
13838,7088.4169600000005,185,31,2,35,9,8,18
13842,8385.82908,562,48,4,18,8,12,20
13846,1487.45754,210,27,1,8,7,6,7
13848,132.38150000000002,15,1,1,1,1,1,1
13854,3217.15488,144,20,8,24,7,13,12
13859,2660.58737,71,22,2,16,9,8,7
13862,3689.0456,84,19,2,18,8,9,9
13869,13530.6303,729,37,2,40,9,13,24
13871,3472.04761,33,12,1,16,4,4,7
13873,398.22278,7,7,1,3,2,2,2
13874,1140.80989,81,17,1,10,6,5,5
13880,1199.89,27,4,1,5,2,2,3
13881,2250.08828,25,10,1,7,5,5,6
13883,34.91,10,1,1,1,1,1,1
13890,1689.9701,141,11,2,8,5,6,5
13894,838.52422,11,8,1,6,5,5,3
13898,412.64829999999995,122,12,1,2,3,2,1
13901,780.88076,22,10,1,8,4,4,7
13911,3255.3226,131,16,2,14,6,6,8
13922,402.2173,27,7,1,3,4,4,1
13929,3152.1081999999997,157,3,2,2,2,2,0
13939,1353.19118,14,11,2,10,5,5,5
13941,1053.54098,17,10,2,9,6,7,4
13948,162.82760000000002,3,3,1,2,2,2,1
13953,14.496,1,1,1,1,1,1,0
13958,526.3670000000001,5,3,1,4,2,2,2
13959,1146.5034400000002,30,15,1,7,4,4,5
13963,5336.25018,371,31,4,16,8,10,14
13969,3582.46708,251,38,2,18,7,6,17
13982,4687.54738,180,38,2,30,11,15,17
13983,10660.65914,549,40,3,18,9,8,17
13984,178.09908000000001,11,8,2,4,2,3,1
13993,579.86456,25,17,1,3,4,4,6
13999,3457.29408,45,22,3,20,5,8,11
14001,1265.8285799999999,63,8,1,6,4,3,3
14006,603.54638,12,7,1,4,3,3,4
14016,1843.9637300000002,53,36,1,16,9,8,17
14030,5296.67838,321,20,2,17,6,6,5
14031,3581.1133200000004,160,45,5,21,10,14,20
14032,4669.394200000001,239,25,5,19,6,9,15
14037,1682.005,71,25,1,16,6,5,14
14040,8800.661,333,40,3,38,8,7,27
14044,8071.487300000001,72,23,2,45,9,8,11
14045,169.56098,8,5,2,4,4,4,1
14047,397.03758,97,15,3,4,5,5,7
14049,12679.01988,271,57,2,57,10,9,37
14051,4180.5677000000005,73,30,4,24,12,17,10
14057,3634.4455000000003,132,33,2,23,8,7,17
14060,4435.49099,345,34,5,25,11,17,13
14062,5551.60012,232,30,4,33,6,11,20
14068,2535.53244,254,21,1,10,7,7,9
14078,2662.2845,138,12,1,3,4,3,1
14081,5958.30743,247,56,1,24,10,9,23
14082,2765.19826,30,20,1,19,3,3,13
14083,8007.5707600000005,644,64,2,44,11,15,27
14085,13514.545180000001,689,112,6,73,12,21,64
14088,10762.28518,358,56,1,51,9,8,31
14090,21.576,1,1,1,1,1,1,0
14092,3398.2590999999998,194,55,4,26,9,10,21
14099,7118.27211,383,38,2,34,7,9,22
14101,151.89813999999998,4,3,1,1,1,1,1
14107,1305.1208000000001,48,14,2,9,5,5,5
14113,659.80638,43,6,4,7,4,6,6
14114,1119.1785,14,8,1,5,5,5,4
14119,23.9242,1,1,1,1,1,1,0
14127,2333.9288,27,15,1,13,5,5,4
14130,10724.19328,168,31,1,40,7,6,22
14133,2119.38086,46,15,2,11,5,6,6
14135,6227.896650000001,199,52,8,36,12,20,27
14142,3983.3312400000004,40,11,1,21,5,5,12
14146,11661.09828,579,50,2,31,8,12,20
14150,787.76534,12,9,1,6,4,4,2
14156,8740.84921,112,51,6,43,10,13,30
14159,2756.72692,128,40,1,21,7,6,11
14161,2949.73362,89,21,1,13,7,6,9
14167,1524.3312,175,17,1,7,9,8,3
14175,2001.5304800000001,64,20,3,7,8,10,3
14176,560.7213,15,14,3,8,7,8,6
14180,23767.76096,1669,64,10,41,12,22,32
14185,134.112,12,3,1,1,1,1,0
14188,1356.59185,57,11,1,8,6,6,5
14189,5783.0518600000005,357,35,3,26,10,11,18
14194,4324.59142,52,16,1,20,7,7,13
14201,374.2026,6,3,1,3,2,2,1
14205,1717.1880800000001,61,13,1,9,7,7,4
14206,333.8,2,1,1,1,1,1,0
14209,2664.80156,332,14,1,8,6,6,6
14210,3750.09522,53,29,2,17,9,12,10
14213,101.79348,5,5,1,2,4,4,2
14215,3803.87932,244,47,5,30,8,9,16
14217,1092.10894,48,21,5,11,4,7,7
14220,1060.42064,12,10,1,9,4,4,3
14221,2471.25865,266,15,1,10,8,8,4
14224,4273.525000000001,113,30,2,22,8,7,14
14229,1947.7484800000002,37,21,3,12,7,7,5
14233,2129.54158,44,12,2,12,5,7,8
14236,300.16060000000004,23,3,1,3,3,3,1
14237,958.08118,22,8,1,6,4,4,5
14238,960.42468,29,7,1,5,3,3,3
14239,575.91376,139,9,1,3,4,4,2
14242,1011.2132,10,7,1,5,2,2,1
14243,4029.9364800000003,126,33,3,14,9,12,17
14248,284.29499999999996,16,8,1,1,1,1,1
14256,3289.5225800000003,73,24,1,15,6,5,9
14257,4458.04354,116,27,1,18,6,5,12
14258,1447.11278,78,28,1,10,8,7,7
14264,31.280079999999998,2,2,1,1,2,2,1
14270,2021.1485,174,26,1,11,5,5,9
14282,1156.8456800000001,53,11,1,8,6,5,5
14290,3572.51996,390,23,2,12,6,6,9
14292,467.60720000000003,7,3,1,3,2,2,3
14293,1089.25746,40,14,1,5,5,5,5
14295,256.6,6,2,1,2,2,2,0
14298,17492.88043,789,152,8,98,13,21,79
14299,3529.4354000000003,129,27,9,20,7,12,12
14307,8819.77819,391,60,2,36,11,16,31
14309,925.61622,39,22,3,7,8,7,5
14312,3699.5834600000003,551,22,2,9,7,8,9
14320,2981.9199000000003,43,27,3,17,10,11,13
14321,2448.005,157,25,1,16,7,6,10
14329,5126.29364,158,55,2,31,11,10,19
14334,3654.73127,134,37,2,16,7,9,16
14341,1982.53866,135,20,2,12,7,7,4
14344,1773.4661999999998,29,9,3,13,4,4,5
14355,1525.1685,100,11,1,8,7,6,4
14368,1561.395,8,5,1,7,3,3,3
14373,180.60134,4,4,1,1,2,2,1
14388,1922.37778,250,22,2,10,6,5,8
14389,777.9982,166,6,1,1,3,3,2
14390,3911.2959400000004,39,13,1,21,5,4,12
14395,4285.9776600000005,115,51,2,33,8,10,23
14396,5110.8157200000005,341,23,1,24,7,6,8
14401,1991.2664100000002,39,17,2,12,7,10,8
14404,3852.38504,62,33,2,23,8,7,12
14409,2488.28998,26,9,2,11,3,5,5
14410,1183.1370200000001,11,5,1,6,3,3,2
14411,697.37467,14,13,1,8,5,5,5
14413,2685.86548,107,22,1,5,6,6,7
14414,308.72008,9,8,1,4,3,3,2
14415,11929.0309,384,85,3,45,10,14,44
14419,1754.03176,47,19,2,8,6,5,7
14426,4128.5754400000005,69,34,3,24,6,7,17
14428,1393.39198,32,21,1,8,7,6,2
14437,201.27685000000002,5,5,1,2,3,3,2
14438,546.93384,29,9,2,5,4,4,5
14439,3245.3979600000002,99,25,1,17,10,9,9
14440,5617.34379,280,25,2,15,8,11,14
14441,53.291,3,2,2,2,2,2,0
14442,4269.9439,251,21,3,20,5,6,7
14443,2487.89538,150,38,3,15,7,8,15
14448,817.4514200000001,43,17,1,8,8,8,5
14449,7670.56887,406,34,2,28,9,8,21
14450,1053.68428,44,11,1,3,6,6,2
14457,1733.7496,106,4,1,1,2,2,2
14460,386.8152,3,2,1,2,1,1,1
14462,8472.02616,83,31,2,39,9,11,20
14466,2052.64155,23,13,2,11,5,8,7
14467,2903.71936,193,15,1,9,7,6,5
14472,6333.5302,831,55,3,28,8,11,11
14479,445.87068000000005,50,10,1,5,2,2,5
14487,1826.31704,124,12,2,11,5,5,3
14491,589.4453000000001,60,3,2,3,2,2,2
14496,864.9774600000001,29,19,2,3,8,9,9
14497,2878.1389799999997,154,23,1,19,6,6,10
14498,775.3546600000001,18,14,1,6,6,6,8
14501,1045.19,5,3,1,4,1,1,2
14502,4988.7887200000005,57,28,3,21,9,9,20
14505,12258.21261,503,111,4,94,11,18,68
14506,6845.82752,133,31,1,30,8,7,25
14514,1390.07806,72,24,1,10,7,6,10
14524,1093.94498,34,25,1,6,6,6,8
14525,2242.55084,32,19,2,18,2,4,7
14527,18201.67147,953,130,11,84,14,26,70
14532,2024.85806,53,22,2,11,8,8,8
14533,1490.2000400000002,20,10,1,6,4,4,4
14534,5659.2262,85,15,3,22,6,6,6
14540,1569.76808,13,8,1,10,3,3,2
14541,13900.56168,1069,40,2,42,10,14,20
14543,2859.6521000000002,22,9,2,10,4,4,3
14544,4837.334580000001,493,46,1,26,7,6,22
14548,358.6682,3,2,1,2,2,2,0
14549,7446.73779,445,38,1,29,9,8,19
14553,965.0118600000001,30,23,1,6,7,7,8
14560,2089.52933,28,17,4,13,7,10,8
14565,2263.08794,110,50,1,17,7,6,16
14572,5618.30161,109,27,1,43,9,8,17
14573,8334.537400000001,625,54,1,36,7,6,26
14576,70.03945999999999,1,1,1,1,1,1,1
14577,2766.4847800000002,69,29,1,19,8,7,13
14587,11285.15925,441,75,2,57,10,13,35
14589,278.9154,35,3,1,1,2,2,2
14594,5145.14914,61,15,2,25,6,6,12
14595,741.2682,7,4,1,5,2,2,3
14600,823.638,9,2,1,2,1,1,0
14606,65743.77627,3119,282,27,288,16,36,217
14608,12.5962,1,1,1,1,1,1,0
14616,136.9,1,1,1,1,1,1,0
14618,633.46055,40,6,2,3,4,4,1
14621,3820.77362,1013,15,1,11,5,4,5
14625,2922.68836,119,32,2,12,6,6,13
14627,661.4102,7,5,1,4,3,3,2
14639,3465.64096,52,36,3,22,7,8,6
14643,1350.9426,69,18,2,10,5,7,1
14646,23781.58189,776,139,9,114,15,31,97
14653,2715.5844600000005,176,21,1,17,5,5,10
14657,5908.58432,251,46,1,33,8,7,27
14659,6095.02588,116,35,1,21,9,8,14
14662,4288.7781,120,14,1,18,8,7,10
14665,5835.194579999999,403,24,1,12,7,7,6
14667,29927.68894,1570,114,7,70,11,18,59
14669,7284.25872,146,84,2,43,13,12,36
14672,2592.13528,163,25,1,16,8,7,8
14673,1770.9791000000002,28,11,1,7,4,3,5
14679,158.6729,1,1,1,1,1,1,1
14680,8520.118,572,67,7,38,7,9,36
14684,3486.9874,264,35,1,23,7,7,14
14688,7951.723370000001,123,34,6,38,10,18,18
14692,5599.09638,48,21,2,18,6,5,9
14696,3817.7902,96,22,3,26,7,10,11
14701,8718.58912,277,28,1,38,10,9,15
14702,8828.43988,307,68,4,41,9,14,37
